epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.007,1.72538,2.19811,1.65641,0.72878,0.72603,0.77513,0.43971,1.43083,1.64484,1.441,0.0004,0.0004,0.0004
2,211.663,1.38946,1.50474,1.41906,0.7148,0.78082,0.78643,0.38349,1.64725,2.00239,1.61617,0.000815941,0.000815941,0.000815941
3,320.4,1.40248,1.21137,1.34206,0.48705,0.66438,0.58979,0.23655,1.85956,5.78481,2.06228,0.00122772,0.00122772,0.00122772
4,429.468,1.52758,1.15204,1.50615,0.12928,0.24658,0.11801,0.0264,2.86293,11.5665,6.07213,0.00163535,0.00163535,0.00163535
5,538.198,1.5349,1.25,1.51649,0.09509,0.38356,0.07786,0.02105,2.77797,4.6943,3.5351,0.0019604,0.0019604,0.0019604
6,648.164,1.46984,1.18128,1.44442,0.39986,0.55479,0.39536,0.12767,2.18153,4.06288,2.05915,0.0019505,0.0019505,0.0019505
7,755.919,1.38928,0.95778,1.38014,0.38437,0.50685,0.38788,0.14458,2.29703,2.12846,2.42943,0.0019406,0.0019406,0.0019406
8,864.194,1.37429,0.93654,1.34461,0.52906,0.56164,0.58096,0.254,1.94292,2.23237,1.90484,0.0019307,0.0019307,0.0019307
9,971.806,1.33378,0.8955,1.29975,0.75073,0.81507,0.81078,0.39704,1.74373,1.29285,1.64231,0.0019208,0.0019208,0.0019208
10,1089.04,1.33089,0.83392,1.32405,0.86217,0.80137,0.86989,0.45016,1.67601,1.10776,1.56218,0.0019109,0.0019109,0.0019109
11,1199.11,1.42087,0.90945,1.3762,0.70691,0.87558,0.81975,0.40925,1.6159,1.2182,1.58167,0.001901,0.001901,0.001901
12,1309.64,1.31203,0.86799,1.30367,0.50879,0.69863,0.58617,0.26288,2.04401,1.46918,1.76321,0.0018911,0.0018911,0.0018911
13,1419.8,1.23574,0.79023,1.22472,0.69996,0.83089,0.804,0.41658,1.61994,1.10592,1.4789,0.0018812,0.0018812,0.0018812
14,1529.69,1.27113,0.77985,1.26192,0.831,0.87568,0.87439,0.4567,1.65676,0.91564,1.45616,0.0018713,0.0018713,0.0018713
15,1639.9,1.24317,0.73732,1.24309,0.79661,0.78767,0.81251,0.32624,2.09556,1.18771,1.79613,0.0018614,0.0018614,0.0018614
16,1749.58,1.28382,0.72764,1.23843,0.7699,0.79452,0.86026,0.44952,1.60417,1.04564,1.50389,0.0018515,0.0018515,0.0018515
17,1858.96,1.16829,0.71557,1.18865,0.82799,0.85723,0.86916,0.42148,1.68263,0.92655,1.51378,0.0018416,0.0018416,0.0018416
18,1969.15,1.24482,0.73246,1.24892,0.5349,0.50416,0.46248,0.19016,2.2165,1.78994,2.12647,0.0018317,0.0018317,0.0018317
19,2079.47,1.2173,0.6817,1.20932,0.88808,0.92466,0.91861,0.50318,1.62097,0.83131,1.47201,0.0018218,0.0018218,0.0018218
20,2193.2,1.2192,0.68601,1.21023,0.88867,0.87476,0.89233,0.48201,1.60468,0.85248,1.4847,0.0018119,0.0018119,0.0018119
21,2303.22,1.18554,0.66568,1.19435,0.83606,0.87328,0.84158,0.47385,1.53932,0.82233,1.43514,0.001802,0.001802,0.001802
22,2413.04,1.16472,0.6391,1.18553,0.91107,0.91219,0.92146,0.55464,1.43575,0.70873,1.37602,0.0017921,0.0017921,0.0017921
23,2523.83,1.14534,0.67136,1.18924,0.86064,0.82192,0.88792,0.41994,1.81694,0.92937,1.62405,0.0017822,0.0017822,0.0017822
24,2633.36,1.14682,0.67322,1.18223,0.84047,0.84932,0.86947,0.49245,1.43659,0.86298,1.33923,0.0017723,0.0017723,0.0017723
25,2742.57,1.12764,0.66941,1.14629,0.89837,0.90411,0.91157,0.49926,1.59437,0.79184,1.42322,0.0017624,0.0017624,0.0017624
