epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.163,2.19318,4.8042,2.16102,0.82201,0.10667,0.18872,0.08485,1.82542,3.74799,1.69012,9.6339e-05,9.6339e-05,9.6339e-05
2,622.02,1.506,2.63511,1.50843,0.58888,0.40609,0.4441,0.23192,1.71605,2.5542,1.6589,0.000193377,0.000193377,0.000193377
3,926.649,1.36748,1.87853,1.40377,0.68111,0.56732,0.63922,0.36027,1.57321,1.92515,1.45791,0.000289445,0.000289445,0.000289445
4,1253.36,1.31078,1.47087,1.35768,0.68447,0.56639,0.68962,0.41313,1.41575,1.59997,1.38297,0.000289634,0.000289634,0.000289634
5,1602.05,1.26906,1.21861,1.3131,0.6974,0.65134,0.70276,0.4303,1.4623,1.4574,1.40237,0.000288179,0.000288179,0.000288179
6,1943,1.21834,1.09381,1.27963,0.59639,0.73363,0.75336,0.47536,1.53734,1.37417,1.43152,0.000286723,0.000286723,0.000286723
7,2283.73,1.21519,1.03268,1.268,0.65417,0.73985,0.78372,0.45785,1.50218,1.34077,1.42737,0.000285268,0.000285268,0.000285268
8,2629.18,1.17546,0.91506,1.23552,0.78854,0.67125,0.75939,0.50755,1.38225,1.25498,1.31452,0.000283813,0.000283813,0.000283813
9,3002.44,1.12953,0.84801,1.21481,0.72467,0.68869,0.74604,0.46657,1.48373,1.25671,1.4191,0.000282358,0.000282358,0.000282358
10,3356.04,1.08607,0.80024,1.1881,0.69367,0.69471,0.78343,0.52841,1.21949,1.2562,1.26018,0.000280902,0.000280902,0.000280902
11,3703.55,1.10546,0.76174,1.2117,0.7132,0.69058,0.77257,0.50948,1.25403,1.22013,1.26182,0.000279447,0.000279447,0.000279447
12,4043.96,1.06485,0.71949,1.18179,0.70058,0.7757,0.79382,0.51915,1.33593,1.14276,1.29617,0.000277992,0.000277992,0.000277992
13,4408.75,1.04963,0.68393,1.15265,0.71426,0.75376,0.79201,0.5033,1.36492,1.11326,1.33757,0.000276536,0.000276536,0.000276536
14,4756.11,0.99475,0.66293,1.14074,0.79033,0.65738,0.77881,0.50043,1.38318,1.25214,1.36655,0.000275081,0.000275081,0.000275081
15,5100.47,0.98794,0.65461,1.13705,0.67139,0.76953,0.81132,0.52819,1.33493,1.17086,1.32218,0.000273626,0.000273626,0.000273626
16,5421.01,0.96706,0.60295,1.11838,0.76673,0.71988,0.80037,0.51007,1.34935,1.10521,1.33139,0.000272171,0.000272171,0.000272171
17,5717.93,0.93971,0.59474,1.10542,0.77228,0.73707,0.79895,0.5152,1.37504,1.11103,1.35035,0.000270715,0.000270715,0.000270715
18,6014.54,0.94753,0.58013,1.10229,0.73826,0.76359,0.79801,0.50123,1.43718,1.07376,1.36905,0.00026926,0.00026926,0.00026926
19,6310.15,0.94526,0.56223,1.10511,0.80466,0.73061,0.79067,0.51482,1.37065,1.05098,1.34598,0.000267805,0.000267805,0.000267805
20,6606.43,0.9101,0.5428,1.08097,0.77994,0.75678,0.81206,0.52639,1.33474,1.08251,1.31789,0.000266349,0.000266349,0.000266349
21,6904.66,0.88472,0.52632,1.06766,0.85349,0.66526,0.7872,0.52341,1.2565,1.08995,1.27273,0.000264894,0.000264894,0.000264894
22,7199.54,0.86589,0.51227,1.0596,0.73787,0.81672,0.85927,0.56271,1.30467,1.04693,1.31857,0.000263439,0.000263439,0.000263439
23,7503.21,0.85815,0.50148,1.04987,0.85204,0.72452,0.80349,0.51082,1.3829,1.03839,1.37288,0.000261983,0.000261983,0.000261983
24,7807.42,0.85704,0.49769,1.04851,0.74743,0.7491,0.8234,0.56035,1.25833,1.05372,1.27983,0.000260528,0.000260528,0.000260528
25,8111.6,0.81462,0.47288,1.0266,0.79985,0.7286,0.79091,0.53028,1.25278,1.07213,1.26696,0.000259073,0.000259073,0.000259073
26,8415.69,0.80834,0.46691,1.0211,0.66926,0.72976,0.77386,0.5183,1.36786,1.12407,1.35575,0.000257617,0.000257617,0.000257617
27,8719.7,0.82021,0.4729,1.03854,0.75058,0.76717,0.82466,0.52669,1.38941,1.15373,1.35715,0.000256162,0.000256162,0.000256162
28,9022.96,0.7972,0.47073,1.01845,0.79843,0.72247,0.79258,0.51859,1.33619,1.12557,1.36913,0.000254707,0.000254707,0.000254707
29,9327.15,0.79024,0.45242,1.01746,0.70555,0.77249,0.80377,0.52495,1.39603,1.11044,1.42048,0.000253252,0.000253252,0.000253252
30,9630.09,0.78903,0.44913,1.01574,0.73827,0.7989,0.79839,0.51555,1.34313,1.15169,1.3596,0.000251796,0.000251796,0.000251796
31,9945.96,0.80283,0.45029,1.02471,0.78087,0.77598,0.81438,0.53631,1.3021,1.02964,1.31368,0.000250341,0.000250341,0.000250341
32,10249.8,0.77051,0.43636,1.00452,0.75966,0.77501,0.81081,0.5432,1.29079,1.00243,1.30928,0.000248886,0.000248886,0.000248886
33,10554.2,0.7635,0.42298,0.99612,0.67968,0.80675,0.82144,0.529,1.36512,1.04523,1.38544,0.00024743,0.00024743,0.00024743
34,10858.8,0.74329,0.41086,0.99321,0.76429,0.76116,0.82443,0.5435,1.36296,1.09116,1.38528,0.000245975,0.000245975,0.000245975
35,11163.8,0.72252,0.40058,0.97987,0.83206,0.70977,0.81511,0.54213,1.30645,1.13354,1.33407,0.00024452,0.00024452,0.00024452
