epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4707,1.66682,7.05862,0.02454,0.60931,0.04645,0.06159,0.02931,1.4725,3.34599,0.02663,9.68471e-05,9.68471e-05,9.68471e-05
2,108.767,1.32062,4.20385,0.01872,0.54609,0.25658,0.27159,0.13753,1.79673,2.39304,0.03412,0.000192918,0.000192918,0.000192918
3,148.718,1.34438,2.58552,0.01922,0.70703,0.43898,0.51318,0.30786,1.59106,1.68155,0.02899,0.000287049,0.000287049,0.000287049
4,189.266,1.34406,1.81176,0.01932,0.6028,0.58074,0.63057,0.38827,1.48235,1.374,0.02749,0.000285268,0.000285268,0.000285268
5,229.618,1.29795,1.42489,0.01847,0.74222,0.63408,0.74121,0.45755,1.45156,1.21435,0.02562,0.000282358,0.000282358,0.000282358
6,270.006,1.26034,1.16801,0.01805,0.67842,0.69644,0.75439,0.46427,1.4601,1.15144,0.02647,0.000279447,0.000279447,0.000279447
7,310.189,1.23253,1.06154,0.01756,0.76859,0.67457,0.75126,0.45502,1.49511,1.16921,0.02804,0.000276536,0.000276536,0.000276536
8,350.215,1.25415,0.98521,0.01791,0.78179,0.69398,0.76024,0.47045,1.50457,1.12856,0.02809,0.000273626,0.000273626,0.000273626
9,390.628,1.19932,0.88426,0.01713,0.78574,0.70236,0.80218,0.52806,1.34756,1.02494,0.02403,0.000270715,0.000270715,0.000270715
10,430.902,1.2083,0.84501,0.0173,0.77625,0.70769,0.79863,0.49226,1.51132,0.97067,0.02786,0.000267805,0.000267805,0.000267805
11,471.05,1.17639,0.78517,0.01662,0.80431,0.67514,0.78921,0.51298,1.32662,1.01095,0.02334,0.000264894,0.000264894,0.000264894
12,511.249,1.11866,0.74193,0.01588,0.75318,0.76162,0.82726,0.54034,1.37526,0.96215,0.02474,0.000261983,0.000261983,0.000261983
13,551.515,1.10363,0.70683,0.01557,0.78145,0.76256,0.83257,0.53317,1.39996,0.92651,0.02591,0.000259073,0.000259073,0.000259073
14,591.774,1.12277,0.67688,0.01594,0.67628,0.8022,0.81405,0.54042,1.32605,0.93191,0.02419,0.000256162,0.000256162,0.000256162
15,632.359,1.07937,0.6225,0.01535,0.81497,0.76488,0.85649,0.55789,1.3159,0.8939,0.02355,0.000253252,0.000253252,0.000253252
16,672.726,1.07855,0.6097,0.01537,0.77036,0.7606,0.84321,0.55043,1.35456,0.90784,0.02505,0.000250341,0.000250341,0.000250341
17,712.868,1.06378,0.586,0.01496,0.84002,0.72569,0.87458,0.58622,1.2689,0.87717,0.02285,0.00024743,0.00024743,0.00024743
18,753.258,1.05337,0.58937,0.0149,0.80205,0.7714,0.83796,0.55502,1.2762,0.97901,0.02252,0.00024452,0.00024452,0.00024452
19,793.287,1.02341,0.56486,0.01438,0.83202,0.7637,0.8612,0.58789,1.26217,0.87005,0.02235,0.000241609,0.000241609,0.000241609
20,833.543,1.00343,0.53574,0.01412,0.76492,0.8184,0.84257,0.55713,1.31625,0.91536,0.02354,0.000238699,0.000238699,0.000238699
21,873.552,1.06198,0.54252,0.01489,0.81788,0.81005,0.87101,0.54757,1.39448,0.87919,0.02523,0.000235788,0.000235788,0.000235788
22,913.517,0.99878,0.52305,0.01397,0.78706,0.80583,0.85731,0.57363,1.28787,0.87171,0.02326,0.000232877,0.000232877,0.000232877
23,953.462,0.97201,0.48887,0.01344,0.84351,0.77316,0.85753,0.58657,1.25764,0.90187,0.02266,0.000229967,0.000229967,0.000229967
